#,Series,Author,Reading Status,Series Status,Total # of Books,Total # of Books Read,Progress,Title of Next Read,Next Book Status,Notes
1,The Stormlight Archive,Brandon Sanderson,Up To Date,Ongoing,10,4,40,The Knights of Wind and Truth,Waiting For Release,
2,Middle-Earth Universe,J.R.R. Tolkien,In Progress,Completed,4,1,25,The Fellowship of the Ring,Owned,Only counting the Main Series
3,First Law World,Joe Abercrombie,Not Started,Completed,9,0,0,The Blade Itself,Owned,
4,A Song of Ice and Fire,George R.R. Martin,Not Started,Ongoing,7,0,0,A Game of Thrones,Owned,
5,Mistborn,Brandon Sanderson,Up To Date,Ongoing,13,7,54,,Waiting For Release,
6,The Wheel of Time,Robert Jordan,Finished,Completed,15,15,100,,N/A,
7,Realm of the Elderlings,Robin Hobb,In Progress,Completed,16,3,19,Ship of Magic,To Buy,
8,Discworld,Terry Pratchett,In Progress,Completed,41,1,2,The Light Fantastic,Owned,
9,Malazan,Steven Erikson,Not Started,Completed,10,0,0,Gardens of the Moon,Owned,
10,The Green Bone Saga,Fonda Lee,Finished,Completed,3,3,100,,N/A,
11,Gentlemen Bastard,Scott Lynch,Not Started,Ongoing,7,0,0,The Lies of Locke Lamora,To Buy,
12,Harry Potter,J.K. Rowling,Finished,Completed,8,8,100,,N/A,
13,The Kingkiller Chronicles,Patrick Rothfuss,Up To Date,Ongoing,3,2,67,The Doors of Stone,Waiting For Release,
14,Red Rising Saga,Pierce Brown,In Progress,Ongoing,6,5,83,Lightbringer,To Buy,
15,Dune,Frank Herbert,Not Started,Completed,6,0,0,Dune,Owned,Only counting those written by Frank
16,The Dresden Files,Jim Butcher,Not Started,Ongoing,22,0,0,Storm Front,To Buy,
17,Cradle,Will Wight,Not Started,Ongoing,12,0,0,Unsouled,To Buy,
18,The Murderbot Diaries,Martha Wells,In Progress,Ongoing,7,4,57,Fugitive Telemetry,To Buy,
19,The Broken Earth,N.K. Jemisin,Not Started,Completed,3,0,0,The Fifth Season,To Buy,
20,Earthsea Cycle,Ursula K. Le Guin,In Progress,Completed,6,3,50,Tehanu,To Buy,
21,The Locked Tomb,Tamsyn Muir,Not Started,Ongoing,4,0,0,Gideon the Ninth,Owned,"Only counting ""the Ninth"" books"
22,The Witcher,Andrzej Sapkowski,Not Started,Completed,8,0,0,The Last Wish,To Buy,
23,Piranesi,Susanna Clarke,Finished,Completed,1,1,100,,N/A,
24,The Dark Tower,Stephen King,Not Started,Completed,8,0,0,The Gunslinger,To Buy,
25,The Expanse,James S. A. Corey,Not Started,Completed,9,0,0,Leviathan Wakes,Owned,
26,Hyperion Cantos,Dan Simmons,In Progress,Completed,4,1,25,The Fall of Hyperion,Owned,
27,Jonathan Strange & Mr. Norrell,Susanna Clarke,Finished,Completed,1,1,100,,N/A,
28,His Dark Materials,Philip Pullman,Finished,Completed,3,3,100,,N/A,
29,The Books of Babel,Josiah Bancroft,Not Started,Completed,4,0,0,Senlin Ascends,To Buy,
30,Percy Jackson and the Olympians,Rick Riordan,In Progress,Completed,6,5,83,The Chalice of the Gods,To Buy,Will re-read the series for the new book
31,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Not Started,Completed,6,0,0,The Hitchhikers Guide to the Galaxy,Owned,
32,Wayfarers,Becky Chambers,In Progress,Completed,4,2,50,********,Owned,
33,Book of the Ancestor,Mark Lawrence,Not Started,Completed,3,0,0,Red Sister,To Buy,
34,Riyria,Michael J. Sullivan,Not Started,Completed,3,0,0,The Crown Conspiracy (Theft of Swords),To Buy,
35,Children of Time,Adrian Tchaikovsky,Finished,Completed,3,3,100,,N/A,
36,The Faithful and the Fallen,John Gwynne,Not Started,Completed,4,0,0,Malice,To Buy,
37,The Goblin Emperor,Katherine Addison,Not Started,Completed,1,0,0,,Owned,
38,The Band,Nicholas Eames,Not Started,Ongoing,3,0,0,Kings of the Wyld,To Buy,
39,Book of the New Sun,Gene Wolfe,Not Started,Completed,1,0,0,,To Buy,
40,Hainish Cycle,Ursula K. Le Guin,Not Started,Completed,10,0,0,Rocannon's World,To Buy,Left Hand of Darkness Series - https://www.ursulakleguin.com/hainish-novels-and-stories
41,Teixcalaan,Arkady Martine,Not Started,Completed,2,0,0,A Memory Called Empire,To Buy,
42,Warbreaker,Brandon Sanderson,Finished,Completed,1,1,100,,N/A,
43,Powder Mage,Brian McClellan,Not Started,Completed,3,0,0,Promise of Blood,To Buy,
44,The Osten Ard Saga,Tad Williams,Not Started,Completed,3,0,0,The Dragonbone Chair,To Buy,
45,Project Hail Mary,Andy Weir,Not Started,Completed,1,0,0,,To Buy,
46,World of the Five Gods,Lois McMaster Bujold,Not Started,Completed,14,0,0,The Hallowed Hunt,To Buy,"4 novels, 10 novellas"
47,American Gods,Neil Gaiman,Not Started,Completed,1,0,0,,Owned,
48,The Old Kingdom,Garth Nix,Not Started,Ongoing,6,0,0,Sabriel,To Buy,
49,Ender's Saga,Orson Scott Card,In Progress,Ongoing,19,0,0,Ender's Game,Owned,"17 novels, 2 novellas (re-read)"
50,Tress of the Emerald Sea,Brandon Sanderson,Finished,Completed,1,1,100,,N/A,
51,Circe,Madeline Miller,Finished,Completed,1,1,100,,N/A,
52,Scholomance,Naomi Novik,Not Started,Completed,3,0,0,A Deadly Education,To Buy,
53,Lightbringer,Brent Weeks,Not Started,Completed,5,0,0,The Black Prism,To Buy,
54,The Chronicles of the Black Company,Glen Cook,Not Started,Ongoing,9,0,0,The Black Company,To Buy,
55,The Masquerade,Seth Dickinson,Not Started,Ongoing,3,0,0,The Traitor Baru Cormorant,To Buy,
56,The Chronicles of Narnia,C.S. Lewis,Finished,Completed,7,0,0,The Magician's Nephew,Owned,Re-Read
57,Grishaverse,Leigh Bardugo,Not Started,Completed,9,0,0,Shadow and Bone,To Buy,
58,Legends & Lattes,Travis Baldree,Finished,Completed,1,1,100,,N/A,
59,Tigana,Guy Gavriel Kay,Not Started,Completed,1,0,0,,To Buy,
60,The Lions of Al-Rassan,Guy Gavriel Kay,Not Started,Completed,1,0,0,,To Buy,
61,Kushiel's Universe,Jacqueline Carey,Not Started,Completed,9,0,0,Kushiel's Dart,To Buy,
62,The Second Apocalypse,R. Scott Baker,Not Started,Ongoing,9,0,0,The Darkness That Comes Before,To Buy,
63,The Poppy War,R.F. Kuang,Finished,Completed,3,3,100,,N/A,
64,The Library at Mount Char,Scott Hawkins,Not Started,Completed,1,0,0,,To Buy,
65,Tortall Universe,Tamora Pierce,Not Started,Ongoing,17,0,0,,To Buy,
67,Parahumans,Wildbow,Not Started,Ongoing,3,0,0,,N/A,Weird. Requires research
68,The Long Price Quartet,Daniel Abraham,Not Started,Completed,4,0,0,,To Buy,
69,Howl's Moving Castle,Diana Wynne Jones,Not Started,Completed,3,0,0,Howl's Moving Castle,Owned,
70,The Bloodsworn Saga,John Gwyne,Not Started,Completed,3,0,0,The Shadow of the Gods,To Buy,
